,Dates,S&P 500 - Gross Return,Euro STOXX - Net Return (USD),TOPIX Total Return - Gross Return,S&P 500 - Commentary,Euro STOXX - Commentary,TOPIX Total Return - Commentary
0,2014-01-31,-3.45740759157883,-4.16800503215693,-3.3963473101948,12/31/2014 AAPL   SA   StreetAccount Evening Reads,12/27/2014 712387 SA   Barron's Summary,12/30/2014 690064 SA   2014 US car recalls more than double previous record - NYT
1,2014-02-28,4.57438535967929,7.47658332901129,-0.784713084129118, 2/28/2014 AAPL   SA   Apple holders said to reject all shareholder proposals including proxy access-- Bloomberg, 2/27/2014 712387 SA   BRF-Brasil Foods looking for buyers of its dairy business including Nestle and Lactalis - WSJ," 2/26/2014 690064 SA   European Automobile Manufacturers' Association (ACEA) Commercial Vehicle Registrations for the EU +4.7% y/y in January, a total of 132,503 new commercial vehicles were registered"
2,2014-03-31,0.840571672253443,0.163678064787698,-0.692088455158335, 3/31/2014 AAPL   SA   Activists prove beneficial for shareholders - Bloomberg, 3/28/2014 712387 SA   Nestle downgraded to neutral from outperform at Credit Suisse, 3/31/2014 690064 SA   Follow-up: NHTSA announces final rule requiring rear visibility technology
3,2014-04-30,0.739203350584949,1.48936793287835,-2.57138769365035, 4/30/2014 AAPL   SA   Hulu to begin streaming ad-supported TV to mobile devices for free, 4/22/2014 712387 SA   RBC notes issues at Danone's Fresh Dairy business; says major M&A not the answer (pre-European open)," 4/30/2014 690064 SA   Toyota Motor to report FY operating profit ~¥2.3T, +70% y/y - Nikkei"
4,2014-05-31,2.34740860908604,0.909303839036912,3.76894439687476, 5/31/2014 AAPL   SA   Barron's Summary," 5/28/2014 712387 SA   Valeant Pharmaceuticals to sell filler, toxin assets to Nestle (NESN.SW) for $1.4B"," 5/30/2014 690064 SA   France May new car registrations (as at 27-May), citing unofficial statistics - La Tribune"
5,2014-06-30,2.06575082061133,-0.596932554780261,5.72457096771393, 6/28/2014 AAPL   SA   Barron's Summary," 6/26/2014 712387 SA   As chase for health heats up, sales of frozen foods slow down - WSJ", 6/29/2014 690064 SA   WSJ's Heard on the Street column says high oil prices are less threatening to US economy than they once were
6,2014-07-31,-1.37909298914628,-5.59461688679358,0.612680420277645, 7/30/2014 AAPL   SA   Follow-up: The Information reports that Apple's plans for a TV box have stalled, 7/29/2014 712387 SA   Nestle added to Least Preferred List at UBS; remains neutral," 7/29/2014 690064 SA   Toyota Motor June worldwide vehicle output +4.1% y/y to 773,647 vehicles"
7,2014-08-31,4.00050436852892,0.0332793765980055,-1.86263149117161, 8/31/2014 AAPL   SA   Apple said to reach agreement with American Express (AXP) on new iPhone payments system - Re/code, 8/27/2014 712387 SA   Nespresso to increase revenues by CHF500M this year - Handelsblatt," 8/28/2014 690064 SA   Toyota Motor July worldwide vehicle output +3.9% y/y to 779,823 vehicles"
8,2014-09-30,-1.40236310566663,-3.31907794088325,-1.02386794228236, 9/30/2014 AAPL   SA   China notes security concerns amid approval of iPhone 6 -- NYT Bits blog, 9/30/2014 712387 SA   Valeant Pharmaceuticals' confirms Bridgewater location received Warning Letter from FDA, 9/30/2014 690064 SA   Toyota Motor upgraded to overweight from neutral at JPMorgan
9,2014-10-31,2.44251394770367,-3.4178402769529,-1.60435119954928,10/31/2014 AAPL   SA   Chinese phone makers catching up to global peers - WSJ,10/30/2014 712387 SA   Kantar Worldpanel report forecasts further reduction in emerging markets FMCG spend by June 2015,"10/28/2014 690064 SA   European Automobile Manufacturers' Association (ACEA) Commercial Vehicle Registrations for the EU +13.2% y/y in Sep, a total of 181,436 new commercial vehicles were registered"
10,2014-11-30,2.68947332203999,4.13322377087164,-0.108702348817702,"11/30/2014 AAPL   SA   In the case against Apple, the prosecution calls ... Steve Jobs - NYT",11/30/2014 712387 SA   Morrisons asks suppliers to extend payment terms to 60 or 90 days - Independent (29-Nov),11/30/2014 690064 SA   WSJ's Heard on the Street column is cautious on European car makers
11,2014-12-31,-0.251910620305951,-5.16976760721584,-1.08062157754815,12/31/2014 AAPL   SA   StreetAccount Evening Reads,12/27/2014 712387 SA   Barron's Summary,12/30/2014 690064 SA   2014 US car recalls more than double previous record - NYT
12,2015-01-31,-3.00192316842789,-0.0262813448956511,2.62209387571981, 1/31/2015 AAPL   SA   Barron's Summary," 1/30/2015 001XQ4-E SA   Nestle cuts Swiss prices for 600 imported products to prevent ""shopping tourism"" in Eurozone -- Bloomberg", 1/31/2015 000BK7-E  SA   Barron's Summary
13,2015-02-28,5.74715085984963,6.68802917982783,5.84028675250383, 2/27/2015 AAPL   SA   StreetAccount US Evening Reads, 2/24/2015 712387 SA   French competition authority may sanction dairy producers in cartel case - Le Figaro, 2/26/2015 690064 SA   Prices of used electric cars falling precipitously - WSJ
14,2015-03-31,-1.58144807964888,-1.39102142907407,1.73718377161804, 3/31/2015 AAPL   SA   Jay Z announces that artists will hold majority of Tidal streaming service - NYT, 3/13/2015 712387 SA   Nestlé's Galderma unit sues Actavis unit claiming infringement of Mirvaso patent -- Bloomberg, 3/30/2015 690064 SA   Volvo to open US plant --WSJ
15,2015-04-30,0.959321080700493,2.97719534576464,3.44036173619395, 4/30/2015 AAPL   SA   EU set to unveil plans for digital single market - FT, 4/28/2015 712387 SA   Nestle upgraded to buy from neutral at Citi, 4/28/2015 690064 SA   Toyota Motor announced planned Model AA Class shares (28-Apr)
16,2015-05-31,1.2859260359146,-1.65953748146001,1.33393846561922, 5/30/2015 AAPL   SA   Barron's Summary, 5/26/2015 712387 SA   USDA chief veterinary officer says bird flu cases on decline - Reuters (13:15ET)," 5/28/2015 690064 SA   UK Apr car manufacturing (3.8%) y/y to 128,312 units -- SMMT"
17,2015-06-30,-1.9358051941248,-2.36654184775895,-1.04326721637367, 6/30/2015 AAPL   SA   Appeals Court upholds lower court's ruling that Apple violated antitrust laws in ebook price-fixing case, 6/30/2015 712387 SA   Medline acquires Compat line of pumps and administration sets from Nestlé Health Science," 6/29/2015 690064 SA   Toyota Motor May global vehicle output (8.3%) y/y to 753,321 vehicles"
18,2015-07-31,2.09512263107121,3.83194020789199,0.534716465984841, 7/30/2015 AAPL   SA   Apple initiated buy at Nomura Securities," 7/26/2015 712387 SA   Morrisons buyers demanding payments from suppliers, weakly adhering to GCA code - Guardian"," 7/28/2015 690064 SA   European Automobile Manufacturers' Association (ACEA) Commercial Vehicle Registrations for the EU y/y in +18.6% a total of 197,203 new commercial vehicles were registered"
